,source,target,spec2vec,matched_peaks,_merge,cosine
0,2,7,0.0,15.0,left_only,0.794817014674989
1,7,69,0.0,14.0,left_only,0.7302571868162446
2,7,161,0.0,10.0,left_only,0.7250238939135408
3,7,440,0.0,14.0,left_only,0.7071967371421272
4,3,4,0.0,18.0,left_only,0.7331482078638334
5,3,81,0.0,16.0,left_only,0.7339564584597319
6,3,124,0.0,8.0,left_only,0.8189441435029101
7,4,124,0.0,8.0,left_only,0.7347120964210089
8,81,124,0.0,7.0,left_only,0.7303426448744811
9,124,64,0.0,9.0,left_only,0.707009065375627
10,69,161,0.0,10.0,left_only,0.8926951514102582
11,69,186,0.0,15.0,left_only,0.7056770159681365
12,440,24,0.0,23.0,left_only,0.7562131456598489
13,440,153,0.0,24.0,left_only,0.8289579692115436
14,8,15,0.9689645155774238,44.0,both,0.9922764229079774
15,10,28,0.9380625219533636,18.0,both,0.9955022679366634
16,10,42,0.0,18.0,left_only,0.9957360636230139
17,10,55,0.0,15.0,left_only,0.9884449107100288
18,10,65,0.0,12.0,left_only,0.9493913328679388
19,10,93,0.0,17.0,left_only,0.9922192091833338
20,10,157,0.0,14.0,left_only,0.9738464078217691
21,10,292,0.0,10.0,left_only,0.9559715577040981
22,10,315,0.0,10.0,left_only,0.959420694161862
23,10,471,0.0,16.0,left_only,0.9944732426972805
24,28,42,0.0,16.0,left_only,0.9934838714537462
25,28,55,0.0,13.0,left_only,0.9917118068319585
26,28,65,0.0,12.0,left_only,0.9469158133612781
27,28,93,0.0,16.0,left_only,0.9936697533005098
28,28,157,0.0,14.0,left_only,0.9800591174775112
29,28,292,0.0,8.0,left_only,0.9421059017070814
30,28,315,0.0,10.0,left_only,0.9693812239787115
31,28,471,0.0,16.0,left_only,0.9943161033067837
32,42,55,0.0,16.0,left_only,0.9811027407966951
33,42,65,0.0,11.0,left_only,0.9405241057296497
34,42,93,0.0,15.0,left_only,0.9871960006107239
35,42,157,0.0,12.0,left_only,0.9667045254639743
36,42,292,0.0,11.0,left_only,0.9502430804953389
37,42,315,0.0,10.0,left_only,0.9621040943355496
38,42,471,0.0,15.0,left_only,0.9927191551027884
39,55,65,0.0,9.0,left_only,0.9410980771014853
40,55,93,0.9116081390661688,14.0,both,0.9914159816865743
41,55,157,0.0,10.0,left_only,0.9922849190883098
42,55,292,0.0,8.0,left_only,0.9222120268704749
43,55,315,0.0,10.0,left_only,0.9690799730689439
44,55,471,0.0,12.0,left_only,0.9825608456482211
45,65,93,0.0,10.0,left_only,0.9424744724705392
46,65,157,0.0,9.0,left_only,0.92465119615337
47,65,292,0.0,8.0,left_only,0.915900581769256
48,65,315,0.0,8.0,left_only,0.9069498311817566
49,65,471,0.0,9.0,left_only,0.9402236124939929
50,93,157,0.9243847342435174,14.0,both,0.9818410556558231
51,93,292,0.0,8.0,left_only,0.9417725984656966
52,93,315,0.0,10.0,left_only,0.9719624798242408
53,93,471,0.0,16.0,left_only,0.9931402383841055
54,157,315,0.0,11.0,left_only,0.9728949098401417
55,157,471,0.0,15.0,left_only,0.9691538033672986
56,292,471,0.0,7.0,left_only,0.951919024784147
57,315,471,0.0,10.0,left_only,0.9642865877256189
58,12,95,0.0,28.0,left_only,0.8164607958961487
59,13,202,0.0,8.0,left_only,0.9579986483042892
60,13,258,0.0,11.0,left_only,0.968620230917973
61,13,352,0.0,8.0,left_only,0.949132021904239
62,13,434,0.0,8.0,left_only,0.9757472516196004
63,202,258,0.0,9.0,left_only,0.9226378283348197
64,202,434,0.0,8.0,left_only,0.9322885569786475
65,258,352,0.0,7.0,left_only,0.909242684136631
66,258,434,0.0,9.0,left_only,0.9653184674268295
67,352,434,0.0,7.0,left_only,0.9380779418866165
68,17,31,0.0,39.0,left_only,0.7164761841508795
69,17,33,0.0,33.0,left_only,0.836818358411094
70,17,108,0.0,41.0,left_only,0.8518334261771061
71,17,120,0.0,28.0,left_only,0.8527763732604331
72,17,149,0.0,44.0,left_only,0.8046171346042426
73,31,84,0.0,26.0,left_only,0.7139552248785946
74,31,625,0.0,16.0,left_only,0.7336886363067832
75,33,88,0.0,16.0,left_only,0.7194407464565701
76,33,92,0.0,21.0,left_only,0.7237358405634725
77,33,108,0.0,24.0,left_only,0.8105972386813132
78,33,120,0.0,21.0,left_only,0.8206206268721612
79,33,149,0.0,23.0,left_only,0.8296106398123615
80,108,84,0.0,31.0,left_only,0.7481169907760926
81,108,92,0.0,31.0,left_only,0.7522360757615217
82,108,120,0.0,21.0,left_only,0.8002379750669968
83,108,149,0.0,37.0,left_only,0.8828536101937552
84,120,84,0.0,23.0,left_only,0.7021706249974711
85,120,149,0.0,22.0,left_only,0.7725852667241365
86,149,84,0.0,34.0,left_only,0.7086561267891113
87,149,88,0.0,19.0,left_only,0.7920062314377587
88,149,92,0.0,38.0,left_only,0.750949735024705
89,149,180,0.0,11.0,left_only,0.7113369018487292
90,18,196,0.0,13.0,left_only,0.8968055632106069
91,18,200,0.0,17.0,left_only,0.9222327551909246
92,196,200,0.0,22.0,left_only,0.9270063835250878
93,19,88,0.0,21.0,left_only,0.7403210684072263
94,19,92,0.0,35.0,left_only,0.799846439798754
95,19,180,0.0,12.0,left_only,0.7283900234137404
96,19,331,0.0,23.0,left_only,0.7244299553925488
97,88,92,0.0,19.0,left_only,0.71250331955956
98,88,180,0.0,11.0,left_only,0.7049306168637556
99,92,84,0.0,36.0,left_only,0.7863617566281927
100,92,180,0.0,11.0,left_only,0.8010635767956427
101,92,331,0.0,27.0,left_only,0.8691566218386628
102,92,625,0.0,15.0,left_only,0.7067600005369503
103,180,651,0.0,9.0,left_only,0.7688689724908173
104,331,84,0.0,25.0,left_only,0.7136235415505656
105,20,121,0.0,8.0,left_only,0.9881444858491821
106,20,378,0.9151129065364322,0.0,right_only,0.0
107,121,378,0.9101092568041678,0.0,right_only,0.0
108,21,262,0.0,16.0,left_only,0.9715688248690126
109,24,153,0.0,51.0,left_only,0.8386397231921532
110,84,625,0.0,19.0,left_only,0.8626747921029693
111,47,201,0.0,23.0,left_only,0.9517774159055715
112,50,570,0.0,7.0,left_only,0.9971620463929405
113,50,645,0.0,7.0,left_only,0.9996333931741432
114,50,648,0.0,7.0,left_only,0.9990144097275995
115,50,665,0.0,7.0,left_only,0.9985307973399894
116,50,660,0.9574104844917366,0.0,right_only,0.0
117,50,189,0.9994483628875918,0.0,right_only,0.0
118,50,671,0.9978935620588429,0.0,right_only,0.0
119,50,547,0.9973630520355898,0.0,right_only,0.0
120,50,656,0.99447516330573,0.0,right_only,0.0
121,50,677,0.9919313867461864,0.0,right_only,0.0
